order_id,cust_id,order_placed_date,item_name,count,price
5001,1001,1/15/2023,Wireless Mouse,2,25.99
5002,1002,1/16/2023,Mechanical Keyboard,1,89.5
5003,,1/17/2023,USB-C Cable,3,12.99
5004,1004,1/18/2023,HD Monitor 27-inch,1,199.99
5005,1005,1/19/2023,Ergonomic Chair,1,249
5006,,1/20/2023,Laptop Stand,2,34.5
5007,1007,1/21/2023,Bluetooth Headphones,1,79.99
5008,1008,1/22/2023,External SSD 1TB,1,119
5009,1009,1/23/2023,Webcam 1080p,1,49.99
5010,1010,1/24/2023,Desk Pad Large,2,18.75
5011,,1/25/2023,Wireless Mouse,1,25.99
5012,1012,1/26/2023,Gaming Headset,1,65
5013,1013,1/27/2023,USB Hub 4-Port,2,22
5014,1014,1/28/2023,Smart Watch,1,149.99
5015,1015,1/29/2023,Mechanical Keyboard,1,89.5
5016,1017,1/30/2023,Screen Protector 2-Pack,2,14.99
5017,,1/31/2023,Portable Speaker,1,45
5018,1018,2/1/2023,HD Monitor 27-inch,2,199.99
5019,1020,2/2/2023,Wireless Charger,1,29.99
5020,1021,2/3/2023,Ergonomic Mouse,1,42.5
5021,,2/4/2023,USB-C Cable,5,12.99
5022,1023,2/5/2023,Microphone Stand,1,38
5023,1024,2/6/2023,Bluetooth Speaker,1,55
5024,1025,2/7/2023,Cable Management Sleeve,3,9.99
5025,1028,2/8/2023,LED Desk Lamp,1,32
